movie_id,director
493464,Timur Bekmambetov
117500,Michael Bay
438097,Carlos Saldanha
343660,Peter Segal
427327,Adam Shankman
204313,Renny Harlin
141369,David Kellogg
1670345,Louis Leterrier
1375670,Dennis Dugan
362227,Steven Spielberg
785006,Thor Freudenthal
190865,Martin Campbell
472062,Mike Nichols
307453,Bibo Bergeron
443489,Bill Condon
377471,F. Gary Gray
408306,Steven Spielberg
314353,Antoine Fuqua
1103153,Robert Luketic
1638355,Guy Ritchie
371246,James L. Brooks
385880,Gil Kenan
219965,Barry Levinson
113071,Jerry Zucker
166485,Andy Tennant
1253864,Tarsem Singh
340163,Florent-Emilio Siri
120913,Don Bluth
329717,Ron Shelton
120157,Paul W.S. Anderson
806203,David Pastor
166276,Henry Selick
377062,John Moore
217869,M. Night Shyamalan
2293640,Kyle Balda
978764,Zack Snyder
120832,Brian De Palma
120184,Barry Levinson
1985949,Clay Kaytis
770752,Andy Tennant
1201167,Judd Apatow
431197,Peter Berg
415306,Adam McKay
240462,Steve Carr
112573,Mel Gibson
418763,Sam Mendes
462538,David Silverman
268995,Frank Darabont
132245,Renny Harlin
338512,Jean-Jacques Annaud
368447,M. Night Shyamalan
118998,Betty Thomas
286106,M. Night Shyamalan
298148,Andrew Adamson
317219,John Lasseter
163187,Garry Marshall
295701,Rob Cohen
2279373,Paul Tibbitt
117438,Ron Howard
361748,Quentin Tarantino
102057,Steven Spielberg
1267297,Brett Ratner
99423,Renny Harlin
257076,Clark Johnson
259711,Cameron Crowe
452637,M. Night Shyamalan
370263,Paul W.S. Anderson
1231580,Betty Thomas
277434,Randall Wallace
2302755,Antoine Fuqua
120844,Jonathan Frakes
1217613,Jonathan Liebesman
319061,Tim Burton
111742,Mike Nichols
1568911,Steven Spielberg
2177771,George Clooney
96754,James Cameron
1027718,Oliver Stone
829150,Gary Shore
133952,Edward Zwick
486655,Matthew Vaughn
120102,Jean-Jacques Annaud
1578275,Ron Howard
280486,Joel Schumacher
419706,Andrzej Bartkowiak
297181,Betty Thomas
1496025,Måns Mårlind
1336608,Adam Shankman
251114,Gregory Hoblit
1448755,Gary McKendry
