movie_id,actor
1077368,Christopher Lee
2381249,Jeremy Renner
2381249,Tom Cruise
2381249,Sean Harris
780653,Simon Merrells
780653,Anthony Hopkins
780653,Art Malik
918940,Alexander Skarsgård
918940,Christoph Waltz
918940,Casper Crump
389790,Oprah Winfrey
389790,Matthew Broderick
389790,Rip Torn
1302011,Gary Oldman
1302011,Angelina Jolie Pitt
1302011,Mike Bell
938283,Noah Ringer
938283,Seychelle Gabriel
938283,Aasif Mandvi
317919,Tom Cruise
317919,Philip Seymour Hoffman
317919,Eddie Marsan
2334879,Jake Weber
2334879,Channing Tatum
2334879,Matt Craven
1305591,Dan Fogler
1305591,Elisabeth Harnois
1305591,Tom Everett Scott
424095,Kate Winslet
424095,Hugh Jackman
424095,David Suchet
864835,Zach Callison
864835,Ty Burrell
864835,Karan Brar
332452,Orlando Bloom
332452,Brad Pitt
332452,Julian Glover
1277953,Martin Short
1277953,Jada Pinkett Smith
1277953,Cedric the Entertainer
246460,Colin Salmon
246460,Toby Stephens
246460,Rick Yune
120591,Steve Buscemi
120591,Bruce Willis
120591,Will Patton
120912,Rosario Dawson
120912,Will Smith
120912,Rip Torn
442933,Anthony Hopkins
442933,Robin Wright
442933,Sebastian Roché
2267968,Angelina Jolie Pitt
2267968,J.K. Simmons
2267968,Wayne Knight
1229238,Jeremy Renner
1229238,Tom Cruise
1229238,Michael Nyqvist
1446192,Kamil McFadden
1446192,Hugh Jackman
1446192,Khamani Griffin
369441,Richard Burgi
369441,John Michael Higgins
369441,David Herman
325710,Tony Goldwyn
325710,Tom Cruise
325710,Chad Lindberg
796366,Leonard Nimoy
796366,Chris Hemsworth
796366,Bruce Greenwood
145487,James Franco
145487,J.K. Simmons
145487,Kirsten Dunst
1646971,Djimon Hounsou
1646971,Gerard Butler
1646971,America Ferrera
2404233,Elodie Yung
2404233,Gerard Butler
2404233,Bryan Brown
382992,Joe Morton
382992,Sam Shepard
382992,Richard Roxburgh
409459,Billy Crudup
409459,Matt Frewer
409459,Stephen McHattie
